CATEGORY,FEATURE NAME,HOW IT WORKS,ENABLED (Check ☑),DISABLED (Uncheck ☐),ADMIN NOTES
AUTHENTICATION,Admin Login,"Admin enters admin key to access full system. Session stored in database for security.",☑,,
AUTHENTICATION,FAE Login,"FAE enters unique FAE code to access their assigned tasks and appointments only.",☑,,
AUTHENTICATION,Session Management,"Sessions stored in database for persistence across page reloads. User stays logged in until logout.",☑,,
AUTHENTICATION,Role-Based Access Control,"System restricts access based on role: Admin has full access, FAE has limited access to own data.",☑,,
AUTHENTICATION,Logout,"User can end session and return to login page. Session data is destroyed.",☑,,
AUTHENTICATION,Direct FAE Linking,"Admin can share direct links with FAE codes for quick login without entering code manually.",☑,,
FAE MANAGEMENT,Create FAE Users,"Admin can add new FAE users with name, email, department, phone, and unique FAE code.",☑,,
FAE MANAGEMENT,Edit FAE Details,"Admin can update FAE information including name, email, department, phone, and assigned department.",☑,,
FAE MANAGEMENT,Delete FAE Users,"Admin can remove FAE users from system. Associated tasks and data handled appropriately.",☑,,
FAE MANAGEMENT,Profile Photo Upload,"FAE can upload a profile photo when first accessing the system or from profile page.",☑,,
FAE MANAGEMENT,Profile Photo Update,"FAE can update their profile photo anytime. System stores image filename for display.",☑,,
FAE MANAGEMENT,FAE Statistics,"Admin can view overall statistics for each FAE: total tasks, completed, in progress, pending, overdue.",☑,,
FAE MANAGEMENT,FAE List View,"Admin can view all FAEs in a list with their contact info, department, and task statistics.",☑,,
TASK MANAGEMENT,Create Tasks,"Admin can create new tasks with name, description, deadline, priority, region, course, and FAE assignment.",☑,,
TASK MANAGEMENT,Edit Tasks,"Admin can modify task details including name, description, deadline, priority, and assigned FAE.",☑,,
TASK MANAGEMENT,Delete Tasks,"Admin can remove tasks from system. Task history/updates may be retained for audit trail.",☑,,
TASK MANAGEMENT,Task Status Management,"Tasks have status: Pending, In Progress, Completed, Overdue. Admin can manually change status.",☑,,
TASK MANAGEMENT,Task Priority,"Tasks can be marked as High, Medium, or Low priority to help FAE prioritize work.",☑,,
TASK MANAGEMENT,Task Progress Tracking,"Admin can set task progress 0-100%. FAE can update progress when posting updates.",☑,,
TASK MANAGEMENT,Task Assignments,"Admin can assign tasks to specific FAEs. Each task belongs to one FAE.",☑,,
TASK VIEWING,FAE Task View,"FAE can see only their assigned tasks. Shows task name, deadline, status, progress, and update count.",☑,,
TASK VIEWING,Admin Task View,"Admin can see all tasks across all FAEs with filtering and sorting options.",☑,,
TASK VIEWING,Task List Display,"Task lists show: task name, assigned FAE, deadline, status, progress %, update count.",☑,,
TASK VIEWING,Task Timeline,"Tasks displayed in order by deadline so FAE/Admin can prioritize upcoming work.",☑,,
TASK VIEWING,Status Filters,"Admin can filter tasks by status: Pending, In Progress, Completed, Overdue.",☑,,
TASK VIEWING,Overdue Task Alerts,"System highlights tasks past deadline. Admin sees overdue count and list on dashboard.",☑,,
TASK UPDATES,Post Task Updates,"FAE can post progress comments/messages to update task status. Includes message, time, and optional file.",☑,,
TASK UPDATES,File Attachments,"FAE can attach files (documents, images, etc.) to task updates to share work/evidence with admin.",☑,,
TASK UPDATES,Update History,"All task updates stored with timestamp, author name, author role (admin/fae), and progress % at time of update.",☑,,
TASK UPDATES,Progress Snapshot,"System records what the task progress % was at the time each update was posted for historical tracking.",☑,,
TASK UPDATES,Status Snapshot,"System records what the task status was at the time each update was posted for audit trail.",☑,,
TASK UPDATES,Chronological Order,"Task updates displayed newest first so FAE/Admin see latest progress immediately.",☑,,
APPOINTMENTS,Book Appointments,"FAE can request an appointment with date, reason, and user name. Goes into pending status.",☑,,
APPOINTMENTS,Admin Approve/Reject,"Admin can review pending appointments and approve, reject, or add comments with decision.",☑,,
APPOINTMENTS,Admin Add Comments,"Admin can add notes/instructions to appointments (e.g., meeting location, preparation notes).",☑,,
APPOINTMENTS,Appointment Status,"Appointments have status: Pending, Approved, Rejected. Shows FAE and Admin the current status.",☑,,
APPOINTMENTS,View All Appointments,"Admin can see all appointments across all FAEs. FAE sees only their own appointments.",☑,,
APPOINTMENTS,Appointment Calendar,"Appointments displayed on calendar view. Admin can see who has appointments on each date.",☑,,
APPOINTMENTS,Upcoming Appointments,"Dashboard shows next 7 days of appointments to help plan schedule.",☑,,
ADMIN EVENTS,Create Admin Events,"Admin can create system-wide events like holidays, meetings, training days, deadlines.",☑,,
ADMIN EVENTS,Edit Admin Events,"Admin can modify event details: title, date, description, category.",☑,,
ADMIN EVENTS,Delete Admin Events,"Admin can remove events from calendar.",☑,,
ADMIN EVENTS,Event Categories,"Events can be categorized (e.g., Holiday, Training, Deadline, Maintenance) for organization.",☑,,
ADMIN EVENTS,Event Display,"Events visible on calendar for all users. FAE and Admin both see admin events.",☑,,
DASHBOARD,Admin Dashboard,"Admin landing page shows: total FAEs, total tasks, tasks by status, overdue count, upcoming deadlines, upcoming appointments.",☑,,
DASHBOARD,FAE Dashboard,"FAE landing page shows: my tasks, task progress, next appointment, upcoming deadlines specific to them.",☑,,
DASHBOARD,Summary Statistics,"Dashboard displays key metrics: total tasks, completed, in progress, pending, overdue.",☑,,
DASHBOARD,Upcoming Deadlines,"Next 7 days of task deadlines displayed in list or timeline format.",☑,,
DASHBOARD,Overdue Alerts,"Tasks past deadline highlighted with alert badge and count displayed prominently.",☑,,
DASHBOARD,Performance Metrics,"Dashboard may show FAE performance: average progress %, completion rate, task velocity.",☑,,
REPORTS,Audit Trail,"System logs all changes to tasks, FAEs, appointments for compliance and troubleshooting.",☑,,
REPORTS,Task History,"Complete history of each task including creation, edits, updates, status changes, and completion date.",☑,,
REPORTS,Update Timeline,"Detailed view of all updates posted to a task with authors, timestamps, and progress snapshots.",☑,,
UI & NAVIGATION,Access/Login Page,"Simple login form where admin/FAE enters credentials and system authenticates.",☑,,
UI & NAVIGATION,Navigation Menu,"Menu system to navigate between: Dashboard, Tasks, FAEs, Appointments, Calendar, Admin Events, Logout.",☑,,
UI & NAVIGATION,Responsive Design,"System works on desktop, tablet, and mobile browsers with adapted layouts.",☑,,
UI & NAVIGATION,Blade Templating,"Server-side template rendering for dynamic content generation from database.",☑,,
UI & NAVIGATION,Vite Asset Bundler,"Fast asset compilation for CSS and JavaScript. Supports modern front-end tooling.",☑,,
DEPARTMENTS,Department Management,"Admin can create, edit, delete departments/regions to organize FAEs.",☑,,
DEPARTMENTS,Department Assignment,"FAEs can be assigned to departments. Tasks can be tagged by department/region.",☑,,
DEPARTMENTS,Department View,"Admin can see department list with member count and see which FAEs belong to each.",☑,,
DEPARTMENTS,Department Members,"When viewing a department, can see expandable list of all FAEs in that department with contact info.",☑,,
CALENDAR,Month View,"Calendar displays current month with all events, appointments, and deadlines marked on dates.",☑,,
CALENDAR,Navigate Months,"Previous/Next buttons to browse through months and see upcoming schedules.",☑,,
